Title,Price (US Dollars)
"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray (Latest Model)",929.0
"New Apple MacBook Pro (16-inch, 16GB RAM, 512GB Storage) - Space Gray",2199.0
